Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
DO 0.001%,ARIMAX,1,2.1866,5.5285,1.7113,1.7149,0.9737
DO 0.001%,SARIMA,1,2.2982,5.6437,1.8125,1.8152,0.9726
DO 0.001%,Jump-Gated ARIMAX-CatBoost,1,1.9658,5.3796,1.4653,1.4686,0.975
DO 0.001%,Ridge (Linear),1,2.3403,6.0641,1.781,1.8116,0.9683
DO 0.001%,LightGBM,1,4.9945,15.3841,3.178,3.4439,0.7959
DO 0.001%,LSTM,1,8.8633,21.6805,6.1078,6.7508,0.5972
DO 0.001%,iTransformer,1,11.4976,29.6646,7.7315,9.0264,0.2459
DO 0.001%,GUMNet-Lite,1,7.4693,18.1018,5.3974,5.8418,0.7192
DO 0.001%,GUMNet-Ultra,1,6.1905,15.6605,4.3744,4.5591,0.7898
DO 0.001%,ARIMAX,5,4.9342,11.8954,3.7192,3.7551,0.8793
DO 0.001%,SARIMA,5,5.5364,12.4687,4.4235,4.4787,0.8673
DO 0.001%,Jump-Gated ARIMAX-CatBoost,5,4.8441,11.8112,3.6313,3.6703,0.8799
DO 0.001%,Ridge (Linear),5,6.3053,14.8619,4.686,4.9677,0.8099
DO 0.001%,LightGBM,5,8.7745,21.4732,6.1366,6.7842,0.6032
DO 0.001%,LSTM,5,11.6226,27.7664,8.1147,9.1686,0.3407
DO 0.001%,iTransformer,5,12.3182,30.7,8.4158,9.8324,0.1941
DO 0.001%,GUMNet-Lite,5,15.5938,30.4507,12.6185,14.4268,0.2071
DO 0.001%,GUMNet-Ultra,5,17.8852,46.0625,11.588,16.1977,-0.8143
DO 0.001%,ARIMAX,10,7.4133,17.9655,5.4976,5.596,0.7275
DO 0.001%,SARIMA,10,8.5043,19.2986,6.6333,6.7877,0.6856
DO 0.001%,Jump-Gated ARIMAX-CatBoost,10,7.2436,17.7918,5.3582,5.4607,0.7276
DO 0.001%,Ridge (Linear),10,8.4626,19.6664,6.2591,6.7612,0.6671
DO 0.001%,LightGBM,10,12.2386,25.1856,9.4966,10.6447,0.4541
DO 0.001%,LSTM,10,12.7668,31.4536,8.8914,10.3503,0.1577
DO 0.001%,iTransformer,10,14.712,33.0352,10.4906,12.2636,0.0709
DO 0.001%,GUMNet-Lite,10,14.5134,30.1922,11.4126,13.1734,0.2239
DO 0.001%,GUMNet-Ultra,10,11.1445,24.4601,8.7706,9.3503,0.4906
DO 0.001%,ARIMAX,30,12.3889,29.3126,8.7928,9.6948,0.305
DO 0.001%,SARIMA,30,15.0507,34.3119,10.9613,12.3308,0.0477
DO 0.001%,Jump-Gated ARIMAX-CatBoost,30,12.2891,28.4895,8.9472,9.7458,0.3045
DO 0.001%,Ridge (Linear),30,13.9049,31.973,10.3797,11.5376,0.124
DO 0.001%,LightGBM,30,14.2314,34.6968,9.7573,11.5372,-0.0316
DO 0.001%,LSTM,30,15.5248,32.4672,12.0419,13.8146,0.1101
DO 0.001%,iTransformer,30,20.9021,39.2248,16.7924,18.4251,-0.2989
DO 0.001%,GUMNet-Lite,30,15.7395,36.0997,11.5407,13.2472,-0.1002
DO 0.001%,GUMNet-Ultra,30,16.0137,33.1407,12.4089,13.5608,0.0728
DO 0.001%,ARIMAX,60,14.9162,32.7544,10.4912,12.0031,0.1833
DO 0.001%,SARIMA,60,18.8274,40.556,13.3393,15.879,-0.2521
DO 0.001%,Jump-Gated ARIMAX-CatBoost,60,13.8569,31.8948,9.7652,11.2893,0.1339
DO 0.001%,Ridge (Linear),60,16.0632,36.6436,11.4536,13.3734,-0.1432
DO 0.001%,LightGBM,60,17.4616,38.137,12.9287,14.8046,-0.2383
DO 0.001%,LSTM,60,20.7021,41.0411,15.8906,18.7829,-0.4035
DO 0.001%,iTransformer,60,25.9581,46.3966,21.5418,23.1216,-0.7937
DO 0.001%,GUMNet-Lite,60,21.9632,44.4007,16.7589,19.544,-0.6427
DO 0.001%,GUMNet-Ultra,60,18.1621,38.9312,13.2444,15.7191,-0.2629
