horizon,target,MAE,RMSE,MAPE,SMAPE,R2
1,MG95,3.166,5.8043,2.6447,2.6485,0.9661
1,MG92,3.0046,5.3394,2.6295,2.6447,0.9655
1,DO 0.001%,5.9498,11.3476,3.4464,3.4679,0.962
1,DO 0.05%,5.9099,11.2732,3.5172,3.5328,0.9583
5,MG95,7.7741,12.7245,6.3898,6.622,0.837
5,MG92,6.852,10.8637,5.9531,6.1805,0.8573
5,DO 0.001%,14.7853,24.9422,8.6537,8.982,0.8164
5,DO 0.05%,14.9543,26.2801,9.0345,9.2121,0.7734
10,MG95,10.7569,19.0756,8.5689,9.3245,0.6337
10,MG92,9.2878,16.3753,7.8993,8.5711,0.6757
10,DO 0.001%,23.2969,38.2914,13.7278,14.5351,0.5674
10,DO 0.05%,23.6919,39.4939,14.3456,14.8764,0.4883
15,MG95,15.4389,25.5823,12.2571,13.4525,0.3411
15,MG92,13.5662,22.2638,11.3929,12.511,0.4005
15,DO 0.001%,31.4251,48.8802,18.3061,20.2286,0.295
15,DO 0.05%,31.6431,49.9112,18.835,20.3794,0.1828
20,MG95,17.8727,28.8255,14.2371,16.0957,0.1635
20,MG92,15.5482,25.3429,13.0402,14.8409,0.2232
20,DO 0.001%,39.1026,58.7154,22.9742,25.7165,-0.0172
20,DO 0.05%,39.0419,59.3415,23.4175,25.7098,-0.1552
30,MG95,22.6637,34.2512,18.2295,21.4083,-0.1811
30,MG92,20.2093,31.1211,17.0577,20.2373,-0.1714
30,DO 0.001%,43.1812,66.6923,25.1483,30.7103,-0.3124
30,DO 0.05%,41.8253,64.78,24.8757,29.9083,-0.3767
60,MG95,30.238,42.5329,23.7982,29.5358,-0.8213
60,MG92,28.0565,40.5965,22.5624,28.5826,-0.9934
60,DO 0.001%,52.1756,77.1143,29.3229,38.9779,-0.7546
60,DO 0.05%,48.0349,72.3096,27.7892,36.676,-0.7153
